Unnamed: 0,fixed_code,buggy_code,gumtree_baseline,line_in_dataset,gpt_attempt1,baseline_nodes,gpt_nodes,node_set_match,jaccard_score,precision,recall,f1_score,tp,fp,fn
0,0,"private static void METHOD_1 ( long VAR_1 , long VAR_2 , long VAR_3 ) { }","private static native void METHOD_1 ( long VAR_1 , long VAR_2 , long VAR_3 ) ;",['Insert Wra'],1,"['Insert Wra', 'Delete Block']",['Wra'],"['Wra', 'Block']",GPT Hallucinated Nodes,0.5,0.5,1.0,0.6666666666666666,1,1,0
1,1,"public void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 , TYPE_3 VAR_3 ) { TYPE_3 message = TYPE_3 . METHOD_2 ( VAR_2 , VAR_3 ) ; if ( message != null ) { TYPE_4 . METHOD_3 ( message ) ; } }","public void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 , TYPE_3 VAR_3 ) { TYPE_3 message = TYPE_3 . METHOD_2 ( VAR_2 , VAR_3 ) ; if ( message != null ) { TYPE_4 . METHOD_3 ( TYPE_3 . METHOD_2 ( VAR_2 , VAR_3 ) ) ; } }","['Insert Invocation', 'Insert TypeAccess', 'Insert VariableRead', 'Insert VariableRead', 'Delete VariableRead']",2,"['Insert TypeAccess', 'Insert Invocation', 'Insert VariableRead', 'Insert VariableRead']","['Invocation', 'TypeAccess', 'VariableRead', 'VariableRead', 'VariableRead']","['TypeAccess', 'Invocation', 'VariableRead', 'VariableRead']",Exact Match,1.0,1.0,0.8,0.888888888888889,4,0,1
2,2,"static boolean equals ( java.lang.Object a , java.lang.Object b ) { if ( a == null ) return b == null ; return VAR_1 . equals ( b ) ; }","private boolean equals ( java.lang.Object a , java.lang.Object b ) { if ( a == null ) return b == null ; return VAR_1 . equals ( b ) ; }",['Update Wra'],3,['Update Wra'],['Wra'],['Wra'],Exact Match,1.0,1.0,1.0,1.0,1,0,0
3,3,private int METHOD_1 ( ) { if ( ! ( METHOD_2 ( ) ) ) { return 0 ; } if ( TYPE_1 . METHOD_3 ( ) ) { return INT_1 ; } else { return INT_2 ; } },private int METHOD_1 ( ) { if ( ! ( METHOD_2 ( ) ) ) { return 0 ; } if ( TYPE_1 . METHOD_3 ( getActivity ( ) ) ) { return INT_1 ; } else { return INT_2 ; } },['Insert Invocation'],4,['Insert Invocation'],['Invocation'],['Invocation'],Exact Match,1.0,1.0,1.0,1.0,1,0,0
4,4,protected java.util.Date METHOD_1 ( ) { return VAR_1 ; },public java.util.Date METHOD_1 ( ) { return VAR_1 ; },['Update Wra'],5,['Update Wra'],['Wra'],['Wra'],Exact Match,1.0,1.0,1.0,1.0,1,0,0
5,5,"public TYPE_1 < java.lang.Integer > METHOD_1 ( int VAR_1 , int VAR_2 ) { return new TYPE_1 ( ( VAR_1 / VAR_2 ) , METHOD_2 ( VAR_1 , VAR_2 ) ) ; }","public TYPE_1 < java.lang.Integer > METHOD_1 ( int VAR_1 , int VAR_2 ) { return new TYPE_1 ( ( VAR_1 / VAR_2 ) , ( VAR_1 % VAR_2 ) ) ; }","['Update ConstructorCall', 'Insert BinaryOperator', 'Move VariableRead', 'Move VariableRead', 'Delete Invocation']",6,"['Delete Invocation', 'Insert BinaryOperator']","['ConstructorCall', 'BinaryOperator', 'VariableRead', 'VariableRead', 'Invocation']","['Invocation', 'BinaryOperator']",GPT Missed Nodes,0.5,1.0,0.4,0.5714285714285715,2,0,3
6,6,"public TYPE_1 METHOD_1 ( java.lang.String event , long VAR_1 , boolean VAR_2 ) { return METHOD_2 ( event , STRING_1 , STRING_1 , VAR_1 , VAR_2 ) ; }","public TYPE_1 METHOD_1 ( java.lang.String event , long VAR_1 , boolean VAR_2 ) { return METHOD_2 ( event , STRING_1 , VAR_1 , VAR_2 ) ; }",['Delete TypeAccess'],7,['Delete Literal'],['TypeAccess'],['Literal'],Partial Match,0.0,0.0,0.0,0.0,0,1,1
7,7,"protected void METHOD_1 ( TYPE_1 < java.lang.Integer , java.lang.Integer > VAR_1 ) { METHOD_2 ( VAR_1 , 1 ) ; METHOD_3 ( VAR_1 , 1 ) ; }","private void METHOD_1 ( TYPE_1 < java.lang.Integer , java.lang.Integer > VAR_1 ) { METHOD_2 ( VAR_1 , 1 ) ; METHOD_3 ( VAR_1 , 1 ) ; }",['Update Wra'],8,['Update Wra'],['Wra'],['Wra'],Exact Match,1.0,1.0,1.0,1.0,1,0,0
8,8,"public TYPE_1 build ( ) { if ( ( VAR_1 ) == null ) { throw new TYPE_2 ( STRING_1 ) ; } return new TYPE_1 ( VAR_1 , VAR_2 , VAR_3 . build ( ) , VAR_4 , VAR_5 ) ; }","public TYPE_1 build ( ) { if ( ( VAR_1 ) == null ) { throw new TYPE_2 ( STRING_1 ) ; } return new TYPE_1 ( VAR_1 , VAR_2 , VAR_3 . build ( ) , VAR_4 ) ; }",['Delete FieldRead'],9,['Delete VariableRead'],['FieldRead'],['VariableRead'],Partial Match,0.0,0.0,0.0,0.0,0,1,1
9,9,public static void main ( java.lang.String [ ] args ) { TYPE_1 VAR_1 = new TYPE_1 ( ) ; VAR_2 . init ( ) ; VAR_1 . METHOD_1 ( ) ; },public static void main ( java.lang.String [ ] args ) { TYPE_1 VAR_1 = new TYPE_1 ( ) ; VAR_2 . init ( ) ; VAR_2 . start ( ) ; },"['Update Invocation', 'Insert TypeAccess', 'Delete VariableRead']",10,"['Delete Invocation', 'Insert Invocation']","['Invocation', 'TypeAccess', 'VariableRead']","['Invocation', 'Invocation']",GPT Missed Nodes,0.3333333333333333,0.0,0.0,0.0,0,2,3
