fixed,buggy,baseline_ast_gumtree,line_id_tp_dataset
public void METHOD_1 ( ) { VAR_1 = METHOD_2 ( ) ; VAR_2 = METHOD_3 ( ) ; VAR_3 = METHOD_4 ( ) ; VAR_4 = METHOD_5 ( ) ; METHOD_6 ( ) ; },public void METHOD_1 ( ) { VAR_1 = METHOD_2 ( ) ; VAR_2 = METHOD_3 ( ) ; METHOD_6 ( ) ; },"['Delete FieldWrite', 'Delete Invocation', 'Delete Assignment', 'Delete FieldWrite', 'Delete Invocation', 'Delete Assignment']",1
public double METHOD_1 ( ) { VAR_1 = ( ( VAR_2 ) * ( VAR_3 ) ) + ( VAR_2 ) ; return VAR_1 ; },public double METHOD_1 ( ) { return 0 ; },"['Insert Literal', 'Delete FieldWrite', 'Delete FieldRead', 'Delete FieldRead', 'Delete BinaryOperator', 'Delete FieldRead', 'Delete BinaryOperator', 'Delete Assignment', 'Delete FieldRead']",2
public void METHOD_1 ( ) { VAR_1 . start ( ) ; VAR_2 = false ; },public void METHOD_1 ( ) { VAR_1 . start ( ) ; },"['Delete FieldWrite', 'Delete Literal', 'Delete Assignment']",3
public void METHOD_1 ( android.view.View VAR_1 ) { if ( ! ( VAR_2 ) ) { METHOD_2 ( VAR_1 ) ; } VAR_2 = true ; },public void METHOD_1 ( android.view.View VAR_1 ) { METHOD_2 ( VAR_1 ) ; },"['Move Invocation', 'Delete FieldRead', 'Delete UnaryOperator', 'Delete Block', 'Delete If', 'Delete FieldWrite', 'Delete Literal', 'Delete Assignment']",4
private void METHOD_1 ( ) { VAR_1 = VAR_2 ; VAR_3 = VAR_4 ; VAR_5 = VAR_4 ; VAR_6 = STRING_1 ; VAR_7 = STRING_1 ; VAR_8 = 0 ; VAR_9 = STRING_1 ; VAR_10 = 0 ; VAR_11 = VAR_12 ; },private void METHOD_1 ( ) { VAR_1 = VAR_2 ; VAR_3 = VAR_4 ; VAR_5 = VAR_4 ; VAR_6 = STRING_1 ; VAR_7 = STRING_1 ; VAR_8 = 0 ; VAR_9 = 0 ; VAR_10 = 0 ; VAR_11 = VAR_12 ; },"['Insert Literal', 'Delete FieldRead']",5
"public void METHOD_1 ( TYPE_1 VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; VAR_2 . i ( VAR_3 , STRING_1 ) ; METHOD_2 ( ) ; METHOD_3 ( ) ; METHOD_4 ( ) ; METHOD_5 ( ) ; VAR_4 = getActivity ( ) ; }","public void METHOD_1 ( TYPE_1 VAR_1 ) { VAR_2 . i ( VAR_3 , STRING_1 ) ; super . METHOD_1 ( VAR_1 ) ; METHOD_2 ( ) ; METHOD_3 ( ) ; METHOD_4 ( ) ; METHOD_5 ( ) ; }","['Move Invocation', 'Delete FieldWrite', 'Delete Invocation', 'Delete Assignment']",6
public static void METHOD_1 ( ) throws java.lang.Exception { VAR_1 = new TYPE_1 ( ) ; VAR_2 = VAR_1 . METHOD_2 ( ) ; TYPE_2 . METHOD_3 ( ) ; },public static void METHOD_1 ( ) throws java.lang.Exception { VAR_2 = new TYPE_1 ( ) . METHOD_2 ( ) ; TYPE_2 . METHOD_3 ( ) ; },"['Insert Assignment', 'Move FieldWrite', 'Insert Invocation', 'Move ConstructorCall', 'Delete FieldWrite', 'Delete Assignment', 'Delete TypeAccess', 'Delete Invocation', 'Delete Assignment']",7
public void METHOD_1 ( ) { VAR_1 = VAR_2 . getValue ( ) ; VAR_3 = false ; VAR_4 . METHOD_2 ( true ) ; VAR_5 . setText ( VAR_1 ) ; },public void METHOD_1 ( ) { VAR_1 = VAR_2 . getValue ( ) ; VAR_4 . METHOD_2 ( true ) ; VAR_5 . setText ( VAR_1 ) ; },"['Delete FieldWrite', 'Delete Literal', 'Delete Assignment']",9
"public void METHOD_1 ( TYPE_1 VAR_1 , int VAR_2 ) { if ( ( VAR_3 . size ( ) ) > 0 ) { VAR_4 . METHOD_2 ( VAR_3 . get ( 0 ) ) ; } METHOD_3 ( VAR_5 ) ; VAR_6 = false ; }","public void METHOD_1 ( TYPE_1 VAR_1 , int VAR_2 ) { if ( ( VAR_3 . size ( ) ) > 0 ) { VAR_4 . METHOD_2 ( VAR_3 . get ( 0 ) ) ; } METHOD_3 ( VAR_5 ) ; }","['Delete FieldWrite', 'Delete Literal', 'Delete Assignment']",10
"public void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( STRING_1 , STRING_2 ) ; VAR_1 = false ; }",public void METHOD_1 ( ) { },"['Delete TypeAccess', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete FieldWrite', 'Delete Literal', 'Delete Assignment']",11
"public void METHOD_1 ( ) { METHOD_2 ( ) ; VAR_1 = null ; METHOD_3 ( ) . METHOD_4 ( VAR_2 , STRING_1 ) ; }","public void METHOD_1 ( ) { METHOD_3 ( ) . METHOD_4 ( VAR_2 , STRING_1 ) ; }","['Delete Invocation', 'Delete FieldWrite', 'Delete Literal', 'Delete Assignment']",13
"public void METHOD_1 ( TYPE_1 VAR_1 ) { java.lang.String VAR_2 = ( ( java.lang.String ) ( TYPE_2 . METHOD_2 ( ) . get ( STRING_1 ) ) ) ; TYPE_3 . METHOD_3 ( STRING_2 , ( VAR_2 + STRING_3 ) ) ; VAR_3 = VAR_2 ; }","public void METHOD_1 ( TYPE_1 VAR_1 ) { java.lang.String VAR_2 = ( ( java.lang.String ) ( TYPE_2 . METHOD_2 ( ) . get ( STRING_1 ) ) ) ; TYPE_3 . METHOD_3 ( STRING_2 , ( VAR_2 + STRING_3 ) ) ; }","['Delete FieldWrite', 'Delete VariableRead', 'Delete Assignment']",14
private static void METHOD_1 ( ) { VAR_1 . date = new java.util.Date ( ) ; VAR_2 = VAR_3 . format ( VAR_1 . date ) ; java.lang.System.out.println ( VAR_2 ) ; },private static void METHOD_1 ( ) { VAR_2 = VAR_3 . format ( VAR_1 . date ) ; java.lang.System.out.println ( VAR_2 ) ; },"['Delete FieldWrite', 'Delete ConstructorCall', 'Delete Assignment']",15
