fixed,buggy,baseline_ast_gumtree,line_id_tp_dataset
"private void METHOD_1 ( java.lang.String msg , int VAR_1 ) { java.lang.System.out.println ( ( ( ( VAR_1 + STRING_1 ) + STRING_2 ) + msg ) ) ; }","private void METHOD_1 ( java.lang.String msg , int VAR_1 ) { java.lang.System.out.println ( ( ( VAR_1 + STRING_1 ) + msg ) ) ; }","['Move BinaryOperator', 'Move VariableRead', 'Delete FieldRead', 'Delete BinaryOperator']",1
"private static float METHOD_1 ( float VAR_1 , float VAR_2 ) { return ( VAR_1 == 0 ) || ( VAR_1 != VAR_1 ) ? VAR_2 : VAR_1 ; }","private static float METHOD_1 ( float VAR_1 , float VAR_2 ) { return VAR_1 == 0 ? VAR_2 : VAR_1 ; }","['Move BinaryOperator', 'Delete VariableRead', 'Delete VariableRead', 'Delete BinaryOperator', 'Delete BinaryOperator']",2
public void METHOD_1 ( ) throws java.lang.Exception { VAR_1 . METHOD_1 ( ) ; TYPE_1 . METHOD_1 ( ) ; TYPE_2 . METHOD_1 ( ) ; VAR_2 . info ( STRING_1 ) ; },public void METHOD_1 ( ) throws java.lang.Exception { TYPE_1 . METHOD_1 ( ) ; TYPE_2 . METHOD_1 ( ) ; VAR_1 . METHOD_1 ( ) ; VAR_2 . info ( STRING_1 ) ; },['Move Invocation'],4
"public int METHOD_1 ( ) { return TYPE_1 . METHOD_1 ( new java.lang.Object [ ] { type , VAR_1 , VAR_2 , VAR_3 , VAR_4 , VAR_5 , VAR_6 , VAR_7 , VAR_8 , VAR_9 , VAR_10 , VAR_11 , VAR_12 , VAR_13 } ) ; }","public int METHOD_1 ( ) { return TYPE_1 . METHOD_1 ( new java.lang.Object [ ] { VAR_3 , VAR_4 , VAR_2 , VAR_6 , VAR_9 , VAR_8 , VAR_10 , type , VAR_5 , VAR_7 , VAR_11 , VAR_12 , VAR_13 , VAR_1 } ) ; }","['Move FieldRead', 'Move FieldRead', 'Move FieldRead', 'Move FieldRead', 'Move FieldRead', 'Move FieldRead']",6
public void METHOD_1 ( ) { if ( ( this . METHOD_2 ( ) ) != null ) { this . METHOD_2 ( ) . METHOD_3 ( this ) ; } this . VAR_1 = true ; this . VAR_2 = null ; },public void METHOD_1 ( ) { this . METHOD_2 ( ) . METHOD_3 ( this ) ; this . VAR_1 = true ; this . VAR_2 = null ; },"['Move Invocation', 'Delete ThisAccess', 'Delete Invocation', 'Delete Literal', 'Delete BinaryOperator', 'Delete Block', 'Delete If']",7
private boolean METHOD_1 ( TYPE_1 VAR_1 ) { return ( ( VAR_2 ) != null ) && ( ( VAR_3 ) != null ) ; },private boolean METHOD_1 ( TYPE_1 VAR_1 ) { return ( VAR_2 ) != null ; },"['Move BinaryOperator', 'Delete FieldRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete BinaryOperator']",8
"public void METHOD_1 ( TYPE_1 VAR_1 ) { if ( ! ( VAR_2 ) ) { VAR_3 . message ( STRING_1 , false ) ; throw new TYPE_2 ( ) ; } }","public void METHOD_1 ( TYPE_1 VAR_1 ) { if ( VAR_2 ) { VAR_3 . message ( STRING_1 , false ) ; throw new TYPE_2 ( ) ; } }","['Move FieldRead', 'Delete UnaryOperator']",9
"void start ( ) { try { if ( ! ( VAR_1 . METHOD_1 ( ) ) ) { VAR_2 . start ( ) ; } } catch ( TYPE_1 VAR_3 ) { TYPE_2 . METHOD_2 ( VAR_4 , STRING_1 ) ; } }","void start ( ) { try { VAR_2 . start ( ) ; } catch ( TYPE_1 VAR_3 ) { TYPE_2 . METHOD_2 ( VAR_4 , STRING_1 ) ; } }","['Move Invocation', 'Delete TypeAccess', 'Delete Invocation', 'Delete UnaryOperator', 'Delete Block', 'Delete If']",11
public void METHOD_1 ( ) { VAR_1 . METHOD_2 ( this ) ; VAR_1 . METHOD_3 ( this ) ; VAR_1 . METHOD_4 ( this ) ; VAR_1 . METHOD_1 ( ) ; },public void METHOD_1 ( ) { VAR_1 . METHOD_1 ( ) ; VAR_1 . METHOD_2 ( this ) ; VAR_1 . METHOD_3 ( this ) ; VAR_1 . METHOD_4 ( this ) ; },['Move Invocation'],13
public void show ( ) { if ( ( VAR_1 ) != null ) { VAR_2 . update ( TYPE_1 . METHOD_1 ( ) ) ; } },public void show ( ) { VAR_2 . update ( TYPE_1 . METHOD_1 ( ) ) ; },"['Move Invocation', 'Delete FieldRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete Block', 'Delete If']",14
